traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
YouTube channels,82,16,5.1,29.78,0,1,0,1
Playlist page,49,6,8.2,48.12,0,0,0,1
Notifications,17,1,17.1,99.92,0,0,0,0
Suggested videos,11,3,3.8,22.05,0,0,0,0
End screens,0,1,0.1,0.48,0,0,0,0
Browse features,0,1,0.1,0.39,0,0,0,0
