traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Playlists,104,7,14.8,62.92,2,1,0,2
Suggested videos,66,12,5.5,23.42,0,0,0,1
YouTube channels,48,3,16.0,68.00,0,0,0,1
Playlist page,30,4,7.4,31.40,0,0,0,0
External,13,2,6.3,26.67,0,0,0,0
YouTube search,4,4,1.1,4.69,0,0,0,0
Browse features,0,1,0.0,0.16,0,0,0,0
Notifications,0,3,0.0,0.05,0,0,0,0
Other YouTube features,0,1,0.0,0.00,0,0,0,0
