traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Browse features,56,3,18.8,66.77,28,2,0,1
Notifications,56,2,28.2,99.97,0,0,0,1
Direct or unknown,4,1,4.1,14.53,0,0,0,0
YouTube search,1,1,1.2,4.43,0,0,0,0
