traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Browse features,30,4,7.6,36.49,21,2,0,1
Notifications,21,2,10.4,50.09,0,0,0,0
Suggested videos,17,4,4.2,20.48,0,0,0,0
YouTube channels,6,4,1.6,7.61,0,1,0,0
Direct or unknown,0,1,0.0,0.16,0,1,0,0
