traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Browse features,69,3,23.0,67.23,69,2,1,1
Suggested videos,49,2,24.7,72.36,49,2,1,1
Playlists,34,1,34.1,99.99,0,0,0,1
Notifications,19,1,18.9,55.48,0,0,0,0
YouTube search,8,2,4.2,12.44,0,0,0,0
Direct or unknown,6,1,5.6,16.50,6,1,0,0
YouTube channels,2,3,0.7,2.17,0,0,0,0
External,0,1,0.3,0.85,0,0,0,0
