traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Playlists,114,8,14.2,52.61,0,0,0,2
Suggested videos,93,7,13.4,49.40,0,0,0,2
Browse features,47,4,11.8,43.54,4,1,0,1
YouTube search,29,3,9.6,35.62,0,0,0,0
YouTube channels,19,12,1.6,5.79,2,1,0,0
External,17,5,3.5,12.79,6,1,0,0
Other YouTube features,16,1,16.1,59.39,0,0,0,0
Playlist page,7,2,3.4,12.64,0,0,0,0
