traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Browse features,43,6,7.2,37.78,30,4,0,1
Suggested videos,34,4,8.6,44.77,0,0,0,1
External,20,4,5.0,26.34,0,0,0,0
Notifications,19,1,19.2,99.93,0,0,0,0
Other YouTube features,1,4,0.3,1.53,0,0,0,0
