traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Browse features,72,6,11.9,46.02,20,3,0,1
Direct or unknown,7,1,6.8,26.32,7,1,0,0
