traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Suggested videos,54,5,10.9,49.74,0,0,0,1
YouTube channels,37,12,3.1,14.03,22,1,0,1
External,30,2,14.8,67.52,0,0,0,0
Browse features,28,7,4.0,18.50,0,0,0,0
Playlists,0,1,0.4,1.78,0,0,0,0
