traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Playlists,39,2,19.4,98.51,0,0,0,1
Suggested videos,23,6,3.9,19.73,15,1,0,0
Notifications,20,3,6.5,33.33,0,0,0,0
Direct or unknown,20,1,19.6,99.96,0,0,0,0
External,9,1,8.7,44.05,9,1,0,0
YouTube channels,8,9,0.9,4.49,0,0,0,0
Browse features,4,1,3.8,19.59,0,0,0,0
YouTube search,1,2,0.3,1.68,0,0,0,0
Other YouTube features,0,1,0.0,0.12,0,0,0,0
