traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Browse features,49,3,16.4,61.83,27,1,0,1
YouTube channels,27,2,13.5,50.85,0,0,0,0
Suggested videos,27,1,26.6,99.94,0,0,0,0
YouTube search,4,2,1.8,6.89,0,0,0,0
Direct or unknown,0,2,0.0,0.08,0,0,0,0
