traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Suggested videos,50,5,10.0,43.43,0,0,0,1
Browse features,47,4,11.6,50.39,23,1,0,1
YouTube channels,23,3,7.8,33.55,0,0,0,0
