traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Browse features,29,4,7.3,30.01,24,1,0,0
Playlists,24,1,24.4,99.94,0,0,0,0
Notifications,24,1,24.4,99.94,0,0,0,0
YouTube search,17,2,8.7,35.47,0,0,0,0
YouTube channels,0,2,0.1,0.30,0,0,0,0
