traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Suggested videos,114,12,9.5,43.22,11,1,0,2
Playlists,89,8,11.1,50.58,0,0,0,1
YouTube channels,33,8,4.1,18.66,0,0,0,1
External,22,3,7.5,34.01,0,0,0,0
Direct or unknown,22,1,21.7,98.57,0,0,0,0
YouTube search,8,3,2.5,11.50,6,1,0,0
Playlist page,0,5,0.1,0.45,0,0,0,0
Other YouTube features,0,2,0.0,0.15,0,0,0,0
