traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Suggested videos,109,10,10.9,48.25,23,1,0,2
YouTube search,45,21,2.1,9.37,0,0,0,1
Playlists,27,4,6.7,29.58,0,0,0,0
External,12,2,6.2,27.54,0,0,0,0
YouTube channels,10,3,3.3,14.72,0,0,0,0
Direct or unknown,5,1,5.4,23.76,0,0,0,0
Other YouTube features,0,3,0.0,0.02,0,0,0,0
