traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Playlists,82,9,9.1,56.12,0,0,0,1
YouTube channels,51,6,8.5,52.35,32,2,1,1
Suggested videos,18,4,4.5,27.57,0,0,0,0
External,15,1,14.7,91.00,0,0,0,0
Browse features,0,1,0.3,2.04,0,0,0,0
Other YouTube features,0,2,0.0,0.24,0,0,0,0
