traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
YouTube channels,67,6,11.1,57.26,38,3,1,1
Suggested videos,54,7,7.8,40.09,1,1,0,1
External,35,2,17.4,89.78,0,0,0,1
Browse features,24,2,11.8,60.55,19,1,0,0
YouTube search,3,2,1.5,7.89,0,0,0,0
Playlists,2,1,2.5,12.65,2,1,0,0
