subtitles_and_cc,subtitles_and_cc_id,watch_time_minutes,views,average_view_duration,average_percentage_viewed,watch_time_hours
No subtitles/CC,,6306,998,6.3,29.83,105
English,en,3,1,3.5,18.06,0
