device_type,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,watch_time_hours
Computer,3007,624,4.8,24.03,0,0,0.00,0,0,0.00,98,0,0.00,45,5,1,0,0,0.00,0,0,0.00,0,25,25,0,0,0,0,14,50
Tablet,1599,179,8.9,40.64,0,0,0.00,0,0,0.00,66,0,0.00,67,4,1,0,0,0.00,0,0,0.00,0,5,5,0,0,0,0,0,27
Mobile phone,1126,155,7.3,30.74,0,0,0.00,0,0,0.00,40,1,2.50,251,30,4,0,0,0.00,0,0,0.00,0,18,18,0,0,0,0,0,19
TV,577,40,14.4,56.85,0,0,0.00,0,0,0.00,0,0,0.00,572,33,10,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,10
Game console,1,1,0.6,2.01,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0
