subscription_status,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
Not subscribed,4363,789,5.5,26.89,0,0,0.00,0,0,0.00,124,1,0.81,343,31,6,0,0,0.00,0,0,0.00,0,17,17,0,0,0,0,14,49,61,12,0,0,0,73
Subscribed,1946,210,9.3,39.50,0,0,0.00,0,0,0.00,80,0,0.00,593,41,10,0,0,0.00,0,0,0.00,0,31,31,0,0,0,0,0,10,12,2,20,22,2,32
