operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
iOS,58,5,11.5,59.44,0,0,0,1
Windows,48,4,12.1,62.38,19,1,0,1
Other,23,3,7.6,38.97,23,3,0,0
Android,23,5,4.5,23.28,18,2,0,0
Linux,19,1,19.4,100.01,0,0,0,0
Macintosh,14,2,7.1,36.64,0,0,0,0
