operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Windows,53,6,8.8,32.90,0,0,0,1
Other,27,1,26.6,99.94,27,1,0,0
iOS,27,1,26.6,99.94,0,0,0,0
Android,1,2,0.5,1.89,0,0,0,0
