operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
iOS,74,4,18.5,80.34,0,0,0,1
Windows,72,14,5.2,22.42,12,1,0,1
Android,40,7,5.7,24.70,23,1,0,1
Other,23,1,23.0,99.94,23,1,0,0
Smart TV,2,1,1.5,6.69,0,0,0,0
Macintosh,1,3,0.2,1.07,0,0,0,0
