operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
iOS,70,6,11.6,53.27,0,0,0,1
Windows,30,12,2.5,11.62,0,0,0,1
Other,22,1,21.8,99.97,22,1,0,0
Macintosh,14,6,2.4,10.98,0,0,0,0
Linux,11,1,10.9,49.91,0,0,0,0
Android,2,1,1.9,8.54,0,0,0,0
