operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
iOS,174,8,21.7,62.90,0,0,0,3
Windows,119,13,9.1,26.47,0,0,0,2
Other,30,2,15.1,43.74,30,2,1,1
Android,15,1,15.4,44.53,0,0,0,0
Macintosh,4,7,0.6,1.66,0,2,0,0
