device_type,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,watch_time_hours
Computer,74,7,10.6,31.01,0,0,0.00,0,0,0.00,2,0,0.00,31,1,1,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,1
Mobile phone,59,3,19.6,57.32,0,0,0.00,0,0,0.00,2,0,0.00,40,2,1,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1
TV,55,3,18.3,53.66,0,0,0.00,0,0,0.00,0,0,0.00,53,2,1,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1
Tablet,0,1,0.2,0.60,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0
