operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Windows,141,13,10.9,49.44,6,1,0,2
Macintosh,59,13,4.5,20.50,0,0,0,1
Android,41,3,13.8,62.95,0,0,0,1
iOS,25,11,2.3,10.32,0,0,0,0
Linux,11,1,10.9,49.74,0,0,0,0
Other,11,1,10.8,48.94,11,1,0,0
