operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Windows,176,26,6.8,22.67,0,0,0,3
Android,101,12,8.4,28.21,38,6,1,2
iOS,57,8,7.1,23.81,0,0,0,1
Macintosh,7,8,0.9,3.13,0,0,0,0
Linux,1,1,0.9,3.07,0,0,0,0
Smart TV,0,1,0.1,0.31,0,0,0,0
