operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
iOS,58,3,19.2,68.12,0,0,0,1
Windows,28,1,28.2,99.95,0,0,0,0
Other,28,1,28.2,99.83,28,1,0,0
Android,4,2,2.1,7.53,0,1,0,0
