device_type,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,watch_time_hours
Computer,191,34,5.6,30.90,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,3,3
Tablet,89,13,6.8,37.65,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1
Mobile phone,37,6,6.2,34.08,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1
TV,18,1,18.2,99.94,0,0,0.00,0,0,0.00,0,0,0.00,18,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0
