operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Windows,174,28,6.2,34.19,0,0,0,3
iOS,84,13,6.5,35.56,0,0,0,1
Macintosh,36,8,4.5,24.51,0,0,0,1
Android,23,4,5.9,32.19,0,1,0,0
Other,18,1,18.2,99.94,18,1,0,0
