operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
iOS,24,5,4.8,23.17,0,0,0,0
Other,21,3,7.0,33.77,21,3,0,0
Windows,15,2,7.4,35.96,0,0,0,0
Android,14,5,2.9,13.92,0,1,0,0
