device_type,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,watch_time_hours
Computer,172,33,5.2,17.51,0,0,0.00,0,0,0.00,4,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,3
Mobile phone,87,13,6.7,22.46,0,0,0.00,0,0,0.00,2,0,0.00,38,6,1,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1
Tablet,83,9,9.2,30.73,0,0,0.00,0,0,0.00,4,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1
TV,0,1,0.1,0.31,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0
