operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Windows,64,8,8.0,40.57,15,1,0,1
Macintosh,30,12,2.5,12.86,9,1,0,1
iOS,21,4,5.3,27.00,0,0,0,0
Linux,7,1,6.7,34.17,0,0,0,0
Android,0,1,0.3,1.78,0,0,0,0
