operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Windows,44,7,6.2,32.60,0,0,0,1
iOS,40,5,8.0,41.56,0,0,0,1
Other,19,1,19.2,99.93,19,1,0,0
Android,16,5,3.1,16.18,11,3,0,0
Macintosh,0,1,0.1,0.30,0,0,0,0
