operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Windows,105,17,6.2,36.06,0,0,0,2
Macintosh,19,2,9.7,56.66,0,0,0,0
iOS,18,4,4.5,26.05,0,0,0,0
Android,17,3,5.7,33.07,0,1,0,0
Linux,0,2,0.2,1.16,0,0,0,0
