operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Windows,120,16,7.5,37.91,0,0,0,2
iOS,91,11,8.2,41.59,10,1,0,2
Macintosh,68,15,4.6,22.98,0,0,0,1
Android,4,3,1.2,5.92,0,1,0,0
