device_type,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,watch_time_hours
Computer,237,32,7.4,31.10,0,0,0.00,0,0,0.00,14,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,4
Tablet,122,8,15.2,64.11,0,0,0.00,0,0,0.00,8,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,2
Mobile phone,34,8,4.2,17.65,0,0,0.00,0,0,0.00,2,0,0.00,16,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1
TV,24,1,23.8,99.95,0,0,0.00,0,0,0.00,0,0,0.00,24,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0
