device_type,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,watch_time_hours
Tablet,73,6,12.2,63.69,0,0,0.00,0,0,0.00,2,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,1
TV,19,1,19.2,99.93,0,0,0.00,0,0,0.00,0,0,0.00,19,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0
Mobile phone,16,6,2.6,13.58,0,0,0.00,0,0,0.00,0,0,0.00,11,3,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0
Computer,10,6,1.7,8.93,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0
