operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Windows,63,4,15.8,97.71,0,0,0,1
iOS,52,12,4.3,26.63,16,1,0,1
Macintosh,19,5,3.8,23.52,0,0,0,0
Android,16,1,16.2,99.94,0,0,0,0
Other,15,1,15.4,94.99,15,1,0,0
