device_type,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,watch_time_hours
Computer,62,15,4.1,20.68,0,0,0.00,0,0,0.00,6,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,1
Tablet,26,3,8.6,42.77,0,0,0.00,0,0,0.00,4,0,0.00,20,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0
Mobile phone,19,3,6.3,31.60,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0
