operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
iOS,39,5,7.8,37.79,0,0,0,1
Windows,30,6,5.0,24.28,0,0,0,1
Other,21,1,20.7,99.81,21,1,0,0
Android,1,1,0.9,4.13,0,0,0,0
