operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Windows,66,10,6.6,33.08,20,1,0,1
iOS,21,3,7.1,35.38,0,0,0,0
Linux,13,1,12.6,63.08,0,0,0,0
Android,3,2,1.7,8.49,0,0,0,0
Macintosh,3,5,0.7,3.25,0,0,0,0
