operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Windows,44,6,7.3,38.28,0,0,0,1
Android,35,3,11.7,61.26,19,1,0,1
iOS,19,2,9.6,50.04,0,0,0,0
Other,19,1,19.1,99.85,19,1,0,0
Macintosh,1,2,0.6,3.07,0,0,0,0
