operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
iOS,49,6,8.2,35.31,0,0,0,1
Windows,41,3,13.6,58.71,0,0,0,1
Other,23,1,23.1,99.96,23,1,0,0
Android,7,2,3.6,15.70,0,0,0,0
