operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Windows,109,25,4.4,21.57,0,0,0,2
iOS,41,6,6.8,33.59,0,0,0,1
Linux,30,4,7.6,37.62,0,0,0,1
Android,22,4,5.6,27.74,20,2,0,0
Other,20,1,20.2,99.97,20,1,0,0
Macintosh,7,4,1.9,9.18,0,0,0,0
